x1	y1	x2	y2
303.018000	15.594400	299.509000	23.849400
303.018000	15.594400	299.509000	23.849400
295.547000	46.597000	291.512000	51.302400
302.198000	53.351800	297.728000	57.103900
302.552000	82.519900	295.985000	86.921500
301.980000	105.013000	294.659000	102.972000
301.980000	105.013000	294.659000	102.972000
310.479000	114.979000	300.374000	111.274000
157.306000	140.466000	170.169000	141.457000
301.826000	140.380000	293.518000	132.822000
357.435000	141.709000	345.574000	129.636000
357.435000	141.709000	345.574000	129.636000
264.066000	166.460000	257.767000	156.746000
328.676000	201.792000	315.809000	182.011000
245.460000	211.545000	241.407000	195.415000
417.133000	229.669000	398.503000	203.817000
408.942000	230.267000	391.610000	204.415000
131.956000	264.986000	142.984000	242.404000
341.938000	301.956000	324.312000	265.883000
341.938000	301.956000	324.312000	265.883000
433.499000	380.599000	408.394000	330.002000
433.763000	409.153000	405.323000	354.002000
433.763000	409.153000	405.323000	354.002000
302.598000	27.361200	298.835000	33.829900
302.156000	53.446400	297.728000	57.103900
302.573000	82.938000	295.985000	86.921500
302.102000	105.010000	294.659000	102.972000
302.102000	105.010000	294.659000	102.972000
309.962000	115.040000	300.374000	111.274000
296.817000	136.164000	288.811000	129.651000
321.458000	138.353000	311.267000	130.454000
321.458000	138.353000	311.267000	130.454000
278.035000	138.976000	270.510000	133.558000
357.332000	141.701000	345.574000	129.636000
357.332000	141.701000	345.574000	129.636000
270.816000	148.569000	264.967000	143.714000
302.517000	149.256000	293.578000	140.603000
333.606000	149.743000	323.013000	139.051000
325.192000	162.843000	313.622000	149.994000
325.192000	162.843000	313.622000	149.994000
263.717000	165.617000	257.767000	156.746000
266.352000	193.604000	259.883000	179.285000
328.372000	201.784000	315.809000	182.011000
356.801000	210.182000	342.007000	188.986000
356.801000	210.182000	342.007000	188.986000
359.837000	217.962000	344.479000	194.877000
359.837000	217.962000	344.479000	194.877000
408.985000	230.068000	391.610000	204.415000
132.167000	265.234000	142.984000	242.404000
424.257000	289.023000	401.749000	253.588000
356.601000	362.783000	335.055000	314.674000
369.145000	362.868000	346.054000	315.187000
433.282000	380.807000	408.394000	330.002000
433.770000	409.142000	405.323000	354.002000
433.770000	409.142000	405.323000	354.002000
302.741000	27.586100	298.835000	33.829900
302.741000	27.586100	298.866000	33.843700
339.499000	82.900500	332.429000	80.340800
302.129000	105.025000	294.914000	103.279000
290.773000	112.038000	284.727000	109.720000
297.166000	111.731000	290.441000	109.309000
297.166000	111.731000	290.441000	109.309000
309.247000	124.439000	301.080000	118.543000
310.410000	136.337000	301.313000	128.537000
283.128000	137.779000	276.217000	132.831000
283.128000	137.779000	276.217000	132.831000
163.818000	154.310000	175.050000	153.765000
324.898000	162.941000	313.622000	149.994000
324.898000	162.941000	313.622000	149.994000
265.147000	164.323000	259.740000	155.973000
339.662000	166.097000	326.837000	151.632000
280.480000	176.639000	272.679000	164.780000
153.619000	185.442000	166.591000	178.704000
153.619000	185.442000	166.591000	178.704000
265.164000	193.199000	259.163000	178.840000
265.164000	193.199000	259.163000	178.840000
248.756000	197.212000	245.085000	183.906000
248.756000	197.212000	245.085000	183.906000
165.576000	205.235000	176.011000	193.584000
180.365000	209.755000	187.445000	194.920000
338.359000	213.287000	325.414000	193.821000
243.773000	218.216000	239.780000	200.798000
231.721000	227.691000	229.724000	208.853000
275.882000	231.317000	267.156000	209.506000
268.116000	250.309000	259.813000	224.895000
244.723000	254.399000	238.817000	230.298000
90.566800	255.247000	106.644000	237.284000
134.835000	264.730000	145.189000	242.161000
309.646000	293.475000	294.806000	259.889000
357.023000	363.144000	335.929000	315.362000
368.951000	363.016000	345.286000	315.620000
302.914000	27.807900	298.866000	33.843700
276.352000	79.283600	272.570000	82.759500
266.658000	97.435700	263.516000	99.708100
348.692000	103.485000	339.912000	97.400800
312.191000	112.004000	304.638000	108.111000
281.070000	136.979000	273.305000	132.143000
310.299000	136.459000	301.313000	128.537000
324.462000	137.024000	314.449000	128.619000
295.758000	149.201000	286.549000	141.083000
295.758000	149.201000	286.549000	141.083000
266.089000	163.652000	259.918000	155.757000
281.341000	175.848000	273.071000	163.941000
265.928000	193.600000	259.883000	179.285000
355.418000	197.803000	340.549000	179.232000
289.730000	198.928000	279.845000	182.703000
299.044000	199.055000	288.980000	181.736000
153.872000	203.795000	165.796000	193.086000
180.369000	210.171000	187.488000	195.631000
152.365000	218.355000	164.833000	204.013000
410.165000	228.774000	392.058000	203.385000
261.990000	229.306000	255.706000	209.171000
105.310000	258.759000	117.918000	238.476000
324.578000	260.193000	310.208000	231.931000
